iter	Passed	Remaining
0	31	31653
1	46	23101
2	59	19860
3	71	17692
4	90	18078
5	108	17966
6	120	17139
7	128	15962
8	137	15106
9	145	14395
10	153	13789
11	161	13279
12	171	12997
13	179	12632
14	191	12551
15	204	12604
16	226	13104
17	244	13351
18	258	13332
19	272	13364
20	285	13316
21	300	13357
22	313	13313
23	327	13301
24	339	13236
25	354	13265
26	367	13245
27	376	13056
28	384	12871
29	392	12701
30	400	12530
31	417	12635
32	432	12666
33	442	12561
34	450	12431
35	459	12304
36	474	12344
37	488	12378
38	504	12422
39	518	12432
40	532	12454
41	548	12520
42	569	12678
43	595	12930
44	615	13052
45	635	13185
46	649	13176
47	659	13089
48	668	12967
49	680	12928
50	688	12814
51	698	12736
52	707	12647
53	717	12567
54	731	12560
55	745	12563
56	760	12580
57	771	12522
58	785	12522
59	800	12540
60	817	12581
61	833	12611
62	852	12683
63	869	12710
64	882	12691
65	902	12775
66	912	12701
67	920	12616
68	928	12530
69	937	12453
70	945	12377
71	953	12293
72	962	12225
73	971	12156
74	979	12082
75	987	12006
76	995	11938
77	1004	11876
78	1013	11810
79	1021	11748
80	1029	11684
81	1038	11626
82	1046	11564
83	1058	11543
84	1076	11585
85	1090	11594
86	1105	11600
87	1122	11629
88	1146	11736
89	1169	11826
90	1191	11901
91	1206	11911
92	1220	11903
93	1232	11883
94	1245	11862
95	1254	11816
96	1269	11814
97	1286	11844
98	1296	11801
99	1305	11749
100	1314	11702
101	1323	11650
102	1331	11594
103	1339	11543
104	1348	11493
105	1356	11442
106	1365	11393
107	1373	11343
108	1381	11295
109	1389	11243
110	1403	11240
111	1417	11237
112	1434	11258
113	1447	11250
114	1461	11246
115	1480	11281
116	1502	11341
117	1516	11335
118	1530	11333
119	1546	11340
120	1557	11315
121	1566	11270
122	1574	11223
123	1582	11179
124	1592	11145
125	1599	11098
126	1607	11052
127	1616	11009
128	1624	10967
129	1632	10926
130	1641	10885
131	1649	10843
132	1657	10806
133	1666	10767
134	1674	10731
135	1688	10724
136	1702	10726
137	1714	10710
138	1727	10700
139	1742	10701
140	1755	10695
141	1771	10704
142	1792	10741
143	1811	10767
144	1828	10781
145	1848	10811
146	1863	10815
147	1878	10811
148	1887	10779
